Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
150,15,9,0.00000,0.97500,56,0.89754,0.89610,0.80233,0.84663,160.98630s,57,0.89404,0.88372,0.77551,0.82609,139.87713s,43,1.00000,1.00000,1.00000,1.00000,50.63170s
150,15,9,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,114.24186s,2,0.67550,-nan,0.00000,-nan,99.11894s,17,0.94737,0.85714,1.00000,0.92308,47.10811s
150,15,9,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,114.74058s,7,0.75497,0.65000,0.53061,0.58427,99.25522s,32,1.00000,1.00000,1.00000,1.00000,49.47736s
150,15,9,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,146.54193s,34,0.84768,0.86111,0.63265,0.72941,124.91205s,40,1.00000,1.00000,1.00000,1.00000,50.25368s
150,15,9,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,113.14783s,2,0.67550,-nan,0.00000,-nan,98.98900s,13,0.84211,0.80000,0.66667,0.72727,46.67289s
150,15,9,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,113.51438s,2,0.67550,-nan,0.00000,-nan,98.63821s,17,1.00000,1.00000,1.00000,1.00000,47.61292s
150,15,9,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,128.79299s,18,0.83444,0.81579,0.63265,0.71264,104.12153s,28,1.00000,1.00000,1.00000,1.00000,50.55390s
150,15,12,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,210.72259s,8,0.74834,0.65714,0.46939,0.54762,185.50131s,31,1.00000,1.00000,1.00000,1.00000,84.03752s
150,15,12,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,214.47174s,23,0.82781,0.82857,0.59184,0.69048,186.42313s,38,1.00000,1.00000,1.00000,1.00000,86.32448s
150,15,12,0.00000,0.97500,57,0.89754,0.89610,0.80233,0.84663,251.34896s,56,0.89404,0.88372,0.77551,0.82609,218.43581s,43,1.00000,1.00000,1.00000,1.00000,87.55532s
150,15,12,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,206.64053s,2,0.67550,-nan,0.00000,-nan,180.05347s,18,0.94737,0.85714,1.00000,0.92308,84.23226s
150,15,12,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,206.68875s,7,0.75497,0.65000,0.53061,0.58427,179.72892s,32,1.00000,1.00000,1.00000,1.00000,86.09289s
150,15,12,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,236.14332s,34,0.84768,0.86111,0.63265,0.72941,204.24800s,40,1.00000,1.00000,1.00000,1.00000,86.81414s
150,15,12,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,204.72857s,2,0.67550,-nan,0.00000,-nan,179.32754s,13,0.84211,0.80000,0.66667,0.72727,83.25041s
150,15,12,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,205.90900s,2,0.67550,-nan,0.00000,-nan,179.26040s,17,1.00000,1.00000,1.00000,1.00000,84.71030s
150,15,12,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,218.94009s,18,0.83444,0.81579,0.63265,0.71264,182.43904s,29,1.00000,1.00000,1.00000,1.00000,86.44032s
150,15,15,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,339.57091s,8,0.74834,0.65714,0.46939,0.54762,294.90913s,31,1.00000,1.00000,1.00000,1.00000,132.20185s
